GEOID,total,total_moe,over65,over65_rate,total_cancer65,total_copd65,total_diabetes65,total_heart65,mortality,mortality_rate
63368,46839,1312,5315,113.47381455624586,218,54,16,271,559,105.17403574788335
63104,19913,986,1889,94.86265253854266,90,26,13,85,214,113.28745367919534
63021,56233,967,8602,152.97067558195366,316,92,30,375,813,94.51290397581957
63033,42991,1859,6562,152.6365983577958,366,83,50,549,1048,159.70740627857361
63034,17879,1062,3442,192.51635997539012,137,18,17,160,332,96.45554909936084
63043,22524,420,3779,167.77659385544308,144,41,20,232,437,115.6390579518391
63074,15234,596,1721,112.97098595247473,105,19,6,140,270,156.88553166763512
63101,3307,578,271,81.94738433625642,8,NA,0,16,24,88.56088560885608
63108,20704,896,3129,151.13021638330756,118,18,10,173,319,101.94950463406839
63109,26562,835,3777,142.19561779986446,158,39,16,261,474,125.49642573471009
63038,7077,558,1018,143.84626254062454,38,6,NA,38,82,80.5500982318271
63373,593,94,73,123.10286677908938,6,0,NA,5,11,150.6849315068493
63116,44290,1221,4883,110.2506209076541,217,70,17,315,619,126.76633217284456
63121,24634,1072,4997,202.84971989932612,214,35,27,288,564,112.86772063237943
63122,38686,441,7853,202.99333092074653,320,83,28,473,904,115.11524258245257
63123,51130,978,9651,188.75415607275573,465,126,37,633,1261,130.6600352295099
63140,276,98,30,108.69565217391305,NA,0,0,0,0,0
63126,14781,564,3073,207.90203639807862,148,22,6,152,328,106.7360885128539
63127,4986,324,1405,281.78900922583233,66,16,7,139,228,162.27758007117438
63131,17627,715,4183,237.30640494695638,154,18,11,154,337,80.56418838154434
63144,8725,242,928,106.36103151862464,59,14,NA,48,121,130.38793103448276
63367,24228,707,3851,158.9483242529305,152,18,NA,124,294,76.34380680342768
63303,47906,1295,7528,157.14106792468584,310,87,33,327,757,100.55791710945802
63332,1253,284,408,325.61851556264963,13,NA,0,9,22,53.92156862745098
63385,43634,855,5196,119.08145024522162,203,58,20,238,519,99.88452655889145
63386,392,76,84,214.28571428571428,6,NA,NA,5,11,130.95238095238096
63026,43287,1152,6219,143.66899993069512,261,80,27,327,695,111.75430133461971
63044,10536,394,2142,203.30296127562642,122,37,9,186,354,165.26610644257704
63049,17398,933,2294,131.85423611909414,101,40,5,103,249,108.5440278988666
63102,2201,415,106,48.159927305770104,NA,NA,NA,9,9,84.90566037735849
63011,38436,1050,7380,192.00749297533562,302,55,20,361,738,100
63005,17887,633,2588,144.68608486610387,85,8,7,77,177,68.39258114374034
63115,18213,1149,3241,177.94981606544778,140,26,21,206,393,121.25887071891393
63128,29823,871,7948,266.505717064011,325,94,23,498,940,118.2687468545546
63136,45411,1382,6221,136.99323952346347,324,69,56,436,885,142.26008680276485
63141,20550,564,4761,231.67883211678833,169,30,10,227,436,91.57739970594413
63088,8376,343,1362,162.60744985673352,63,27,5,95,190,139.5007342143906
63103,8307,776,795,95.70241964608161,50,8,NA,39,97,122.0125786163522
63111,21141,1374,2451,115.93585923087839,116,51,15,179,361,147.28682170542638
63118,28324,1498,2106,74.353904815704,119,31,12,154,316,150.04748338081671
63124,10827,463,3104,286.6906807056433,129,26,6,186,347,111.79123711340206
63132,13427,809,2052,152.82639457808892,95,19,11,102,227,110.62378167641324
63134,13525,517,1458,107.80036968576711,88,26,9,109,232,159.12208504801097
63138,18582,1111,2456,132.17091809277795,129,32,16,170,347,141.28664495114006
63376,74448,1062,10669,143.3080808080808,479,150,50,563,1242,116.41203486737277
63106,11409,889,1328,116.39933385923395,56,14,11,80,161,121.23493975903614
63110,18208,891,1869,102.64718804920913,94,20,18,127,259,138.57677902621722
63025,14334,785,2359,164.5737407562439,108,28,10,134,280,118.69436201780415
63031,47419,1343,6562,138.38334844682512,354,98,45,540,1037,158.03108808290156
63105,18333,384,2668,145.52991872579503,90,16,NA,80,186,69.71514242878561
63112,18744,857,2702,144.15279556124628,140,24,18,141,323,119.54108068097706
63114,35487,950,4256,119.93124242680419,214,80,37,334,665,156.25
63119,34119,368,6728,197.19218031009115,286,76,47,440,849,126.18906064209276
63125,33031,1201,5692,172.3229693318398,324,115,29,412,880,154.6029515108925
63130,28909,764,4010,138.71112802241518,194,37,34,213,478,119.20199501246883
63135,21869,827,2664,121.81626960537747,128,30,24,158,340,127.62762762762763
63143,9572,278,945,98.72544922691183,50,16,NA,49,115,121.69312169312168
63146,30178,1124,6318,209.3578103254026,259,46,23,362,690,109.21177587844255
63304,41277,1208,5936,143.80890084066186,244,46,23,257,570,96.02425876010781
63348,6841,707,1157,169.12732056716854,52,9,NA,35,96,82.97320656871219
63357,5331,750,958,179.70362033389608,45,11,NA,41,97,101.25260960334029
63107,9490,794,1465,154.37302423603793,84,21,14,112,231,157.679180887372
63113,11371,992,1900,167.0917245624835,118,23,20,155,316,166.31578947368422
63117,8978,149,1278,142.34796168411674,70,17,12,88,187,146.3223787167449
63120,8691,996,1071,123.23092854677252,86,14,14,92,206,192.34360410831
63139,21933,790,2816,128.39100898189943,121,45,16,179,361,128.19602272727275
63147,9932,898,1518,152.83930728956906,86,18,15,89,208,137.0223978919631
63341,3663,349,607,165.7111657111657,19,NA,NA,15,34,56.01317957166392
63017,41556,756,11110,267.3500818173067,451,111,37,658,1257,113.14131413141314
63040,8258,459,961,116.37200290627271,35,NA,NA,37,72,74.92195629552549
63042,19443,609,2447,125.85506351900428,146,41,11,153,351,143.44094809971395
63366,49621,1070,6532,131.6378146349328,291,83,18,329,721,110.37966932026944
63069,15247,810,2173,142.5198399685184,114,37,6,121,278,127.93373216751036
63129,53671,1155,10013,186.56257569264594,417,90,39,465,1011,100.96874063717168
63133,7336,459,1102,150.21810250817884,59,13,13,69,154,139.7459165154265
63137,20039,907,2579,128.69903687808772,135,33,22,155,345,133.77278014734392
63301,50675,1274,8509,167.913172175629,400,149,49,511,1109,130.33258902338702
